,Rank,Name,State,2020 Pop,2010 Census,Change,Density (km²),Area (km²)
103,104,Modesto,California,218758,203314,7.60%,1965,111
104,105,Fontana,California,218573,197342,10.76%,1959,112
105,106,Des Moines,Iowa,217891,205004,6.29%,954,228
106,107,San Bernardino,California,217671,209853,3.73%,1353,161
107,108,Baton Rouge,Louisiana,216701,229369,-5.52%,968,224
108,109,Frisco,Texas,215060,118192,81.96%,1219,176
109,110,Salt Lake City,Utah,213367,186571,14.36%,744,287
110,111,Moreno Valley,California,212992,194241,9.65%,1604,133
111,112,Oxnard,California,212715,198465,7.18%,3096,69
112,113,Santa Clarita,California,210543,204213,3.10%,1149,183
113,114,Birmingham,Alabama,208940,211743,-1.32%,552,378
114,115,McKinney,Texas,208487,132943,56.82%,1203,173
115,116,Port St. Lucie,Florida,206410,164843,25.22%,669,309
116,117,Fayetteville,North Carolina,205646,208335,-1.29%,537,383
117,118,Grand Rapids,Michigan,205289,188003,9.19%,1771,116
118,119,Glendale,California,204765,191726,6.80%,2595,79
119,120,Rochester,New York,203792,210452,-3.16%,2200,93
120,121,Huntsville,Alabama,202910,180960,12.13%,365,555
121,122,Amarillo,Texas,202028,191255,5.63%,767,264
122,123,Huntington Beach,California,201941,191303,5.56%,2887,70
123,124,Spring Valley,Nevada,199722,178395,11.95%,2319,86
124,125,Cape Coral,Florida,199503,154735,28.93%,727,274
125,126,Tallahassee,Florida,199205,181596,9.70%,766,260
126,127,Yonkers,New York,199021,196405,1.33%,4266,47
127,128,Aurora,Illinois,198870,198157,0.36%,1706,117
128,129,Grand Prairie,Texas,198442,175979,12.76%,1060,187
129,130,Akron,Ohio,198148,199003,-0.43%,1235,160
130,131,Little Rock,Arkansas,197371,193928,1.78%,635,311
131,132,Montgomery,Alabama,197282,205593,-4.04%,476,414
132,133,Overland Park,Kansas,196636,174041,12.98%,1010,195
133,134,Augusta,Georgia,196303,196192,0.06%,251,783
134,135,Tempe,Arizona,194218,162326,19.65%,1876,104
135,136,Sunrise Manor,Nevada,192934,189372,1.88%,2232,86
136,137,Knoxville,Tennessee,191060,178432,7.08%,747,256
137,138,Sioux Falls,South Dakota,190519,154526,23.29%,940,203
138,139,Columbus,Georgia,189296,191105,-0.95%,338,561
139,140,Mobile,Alabama,186804,194577,-3.99%,517,361
140,141,Ontario,California,186653,164369,13.56%,1442,129
141,142,Vancouver,Washington,186516,167622,11.27%,1477,126
142,143,Worcester,Massachusetts,186433,181878,2.50%,1927,97
143,144,Fort Lauderdale,Florida,184599,166138,11.11%,2061,90
144,145,Chattanooga,Tennessee,184143,170559,7.96%,497,370
145,146,Shreveport,Louisiana,183819,200869,-8.49%,661,278
146,147,Brownsville,Texas,183748,175400,4.76%,536,343
147,148,Peoria,Arizona,180219,154891,16.35%,395,456
148,149,Rancho Cucamonga,California,180031,166232,8.30%,1733,104
149,150,Salem,Oregon,179944,155229,15.92%,1427,126
150,151,Providence,Rhode Island,178901,178100,0.45%,3753,48
151,152,Eugene,Oregon,178329,156527,13.93%,1560,114
152,153,Elk Grove,California,177406,153394,15.65%,1630,109
153,154,Santa Rosa,California,177132,175304,1.04%,1608,110
154,155,Newport News,Virginia,177064,180925,-2.13%,991,179
155,156,Pembroke Pines,Florida,177058,155268,14.03%,2092,85
156,157,Oceanside,California,176950,167919,5.38%,1656,107
157,158,Cary,North Carolina,175102,137021,27.79%,1151,152
158,159,Fort Collins,Colorado,172862,145267,19.00%,1167,148
159,160,Corona,California,171213,153249,11.72%,1653,104
160,161,Garden Grove,California,170328,171186,-0.50%,3662,47
161,162,Springfield,Missouri,169552,159484,6.31%,795,213
162,163,Alexandria,Virginia,165748,140740,17.77%,4285,39
163,164,Bayamon,Puerto Rico,165383,185996,-11.08%,2367,70
164,165,Clarksville,Tennessee,164496,133480,23.24%,643,256
165,166,Enterprise,Nevada,164314,108481,51.47%,1241,132
166,167,Hayward,California,161314,144746,11.45%,1368,118
167,168,Jackson,Mississippi,160080,173738,-7.86%,556,288
168,169,Lakewood,Colorado,158660,142786,11.12%,1423,111
169,170,Lancaster,California,158627,156822,1.15%,650,244
170,171,Hollywood,Florida,158239,141018,12.21%,2240,71
171,172,Palmdale,California,156299,152962,2.18%,569,275
172,173,Salinas,California,155619,150904,3.12%,2565,61
173,174,Springfield,Massachusetts,155472,153613,1.21%,1884,83
174,175,Bellevue,Washington,154647,128358,20.48%,1784,87
175,176,Killeen,Texas,153973,128980,19.38%,1090,141
176,177,Kansas City,Kansas,153600,145883,5.29%,475,323
177,178,Macon County,Georgia,152519,155810,-2.11%,236,646
178,179,Sunnyvale,California,152427,140465,8.52%,2671,57
179,180,Pomona,California,152405,149083,2.23%,2560,60
180,181,Escondido,California,152245,144437,5.41%,1575,97
181,182,Pasadena,Texas,151891,149529,1.58%,1346,113
182,183,Murfreesboro,Tennessee,151066,109524,37.93%,945,160
183,184,Naperville,Illinois,149196,142388,4.78%,1484,101
184,185,Joliet,Illinois,148227,147654,0.39%,892,166
185,186,Paterson,New Jersey,145871,146397,-0.36%,6694,22
186,187,Savannah,Georgia,145754,137492,6.01%,542,269
187,188,Rockford,Illinois,145020,153148,-5.31%,870,167
188,189,Midland,Texas,145012,111284,30.31%,753,193
189,190,McAllen,Texas,144279,132123,9.20%,848,170
190,191,Waco,Texas,144015,125409,14.84%,626,230
191,192,Roseville,California,143921,119795,20.14%,1261,114
192,193,Torrance,California,143912,145183,-0.88%,2708,53
193,194,Thornton,Colorado,143890,119391,20.52%,1548,93
194,195,Metairie,Louisiana,143481,138481,3.61%,2382,60
195,196,Miramar,Florida,143219,122299,17.11%,1917,75
196,197,Bridgeport,Connecticut,143010,144858,-1.28%,3437,42
197,198,Olathe,Kansas,142841,126249,13.14%,895,160
198,199,Denton,Texas,142173,117058,21.46%,570,249
199,200,Surprise,Arizona,142049,117674,20.71%,508,280
